unique_key,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,latitude,longitude,year
13256553,JG479256,2023-10-26 10:30:00.000000 UTC,048XX N KARLOV AVE,THEFT,$500 AND UNDER,STREET,false,false,1712,17,39,14,06,41.968667365,-87.730509072,2023
13267961,JG493671,2023-11-06 10:35:00.000000 UTC,047XX W FOSTER AVE,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1712,17,39,14,06,41.975368669,-87.745851197,2023
13070376,JG257509,2023-05-11 11:00:00.000000 UTC,055XX N CHRISTIANA AVE,THEFT,$500 AND UNDER,SCHOOL - PUBLIC BUILDING,false,false,1712,17,39,13,06,41.981757163,-87.712477774,2023
13058776,JG243408,2023-05-01 00:15:00.000000 UTC,040XX W LAWRENCE AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1712,17,39,14,06,41.968234567,-87.728571616,2023
13124706,JG322125,2023-06-30 11:10:00.000000 UTC,040XX W LAWRENCE AVE,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1712,17,39,14,06,41.968234567,-87.728571616,2023
13127043,JG324996,2023-07-02 16:07:00.000000 UTC,046XX W FOSTER AVE,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,1712,17,39,14,06,41.975370278,-87.744023432,2023
12994594,JG166950,2023-02-25 22:30:00.000000 UTC,054XX N BERNARD ST,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1712,17,39,13,14,41.980156482,-87.714869207,2023
12997846,JG170712,2023-03-01 05:30:00.000000 UTC,050XX N TRIPP AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1712,17,39,14,14,41.972625258,-87.734321997,2023
13164873,JG369832,2023-08-04 21:56:00.000000 UTC,046XX N KEDZIE AVE,ROBBERY,ARMED - HANDGUN,CONVENIENCE STORE,false,false,1713,17,33,14,03,41.965876265,-87.708396068,2023
13138018,JG338028,2023-07-12 13:53:00.000000 UTC,028XX W EASTWOOD AVE,ROBBERY,ATTEMPT ARMED - HANDGUN,STREET,false,false,1713,17,40,14,03,41.965653411,-87.699282956,2023
13288528,JG517605,2023-11-26 00:06:00.000000 UTC,031XX W EASTWOOD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1713,17,33,14,08B,41.965595468,-87.707225849,2023
13280078,JG507643,2023-11-17 09:15:00.000000 UTC,032XX W LAWRENCE AVE,ASSAULT,SIMPLE,STREET,false,false,1713,17,33,14,08A,41.968445442,-87.709010784,2023
13226616,JG443296,2023-09-28 19:30:00.000000 UTC,029XX W WILSON AVE,THEFT,OVER $500,STREET,false,false,1713,17,40,14,06,41.964753595,-87.701325232,2023
13243950,JG464315,2023-10-13 11:09:00.000000 UTC,029XX W LAWRENCE AVE,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,false,false,1713,17,40,14,06,41.968498586,-87.703167247,2023
13045465,JG227010,2023-04-17 04:00:00.000000 UTC,030XX W WILSON AVE,THEFT,OVER $500,STREET,false,false,1713,17,33,14,06,41.964735794,-87.704079443,2023
13176292,JG383204,2023-08-14 18:00:00.000000 UTC,033XX W WILSON AVE,THEFT,$500 AND UNDER,STREET,false,false,1713,17,33,14,06,41.964666662,-87.712551808,2023
13238521,JG457703,2023-10-09 17:00:00.000000 UTC,030XX W LAWRENCE AVE,CRIMINAL DAMAGE,TO PROPERTY,AUTO / BOAT / RV DEALERSHIP,false,false,1713,17,33,14,14,41.968482309,-87.705204557,2023
13238543,JG457842,2023-10-10 01:00:00.000000 UTC,046XX N MANOR AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1713,17,40,14,14,41.966399807,-87.701268513,2023
13117245,JG313107,2023-06-23 18:09:00.000000 UTC,046XX W MONTROSE AVE,BATTERY,SIMPLE,CTA STATION,false,false,1722,17,39,16,08B,41.960778173,-87.742731337,2023
13069088,JG255933,2023-05-10 22:00:00.000000 UTC,040XX N PULASKI RD,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,1722,17,39,16,08B,41.954217687,-87.727634329,2023
13218641,JG433995,2023-09-22 03:05:00.000000 UTC,044XX W MONTROSE AVE,THEFT,OVER $500,STREET,false,false,1722,17,39,16,06,41.960816004,-87.73942561,2023
13225688,JG442220,2023-09-27 21:00:00.000000 UTC,040XX N KOLMAR AVE,THEFT,OVER $500,STREET,false,false,1722,17,45,16,06,41.954250265,-87.741776936,2023
13301856,JG532895,2023-12-01 20:10:00.000000 UTC,040XX N KEYSTONE AVE,THEFT,OVER $500,APARTMENT,false,false,1722,17,39,16,06,41.954333151,-87.729236125,2023
13184171,JG392676,2023-08-19 09:00:00.000000 UTC,043XX N CICERO AVE,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1722,17,45,15,06,41.959125819,-87.747485772,2023
13288174,JG517296,2023-11-25 17:42:00.000000 UTC,046XX W IRVING PARK RD,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1722,17,45,15,06,41.95347181,-87.743552438,2023
13299799,JG531332,2023-12-05 17:35:00.000000 UTC,046XX W IRVING PARK RD,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1722,17,45,15,06,41.95347181,-87.743552438,2023
12990176,JG161301,2023-02-21 21:03:00.000000 UTC,046XX W IRVING PARK RD,THEFT,RETAIL THEFT,GROCERY FOOD STORE,false,false,1722,17,45,15,06,41.953443342,-87.744957048,2023
13101514,JG294627,2023-04-11 19:00:00.000000 UTC,041XX W BELLE PLAINE AVE,THEFT,FROM BUILDING,APARTMENT,false,false,1722,17,39,16,06,41.955451519,-87.730038052,2023
13267742,JG493342,2023-11-06 08:47:00.000000 UTC,042XX N CICERO AVE,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,1722,17,45,15,14,41.958252993,-87.747453324,2023
13105786,JG299830,2023-06-13 14:00:00.000000 UTC,047XX W BELLE PLAINE AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1722,17,45,15,14,41.955486303,-87.746276475,2023
13324574,JG561175,2023-12-24 12:00:00.000000 UTC,040XX N KILBOURN AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1722,17,45,16,14,41.954364671,-87.740547975,2023
13210415,JG423815,2023-09-13 21:00:00.000000 UTC,035XX W MONTROSE AVE,ROBBERY,ARMED - HANDGUN,STREET,false,false,1723,17,33,16,03,41.961077702,-87.717223015,2023
13161608,JG364699,2023-08-01 11:00:00.000000 UTC,041XX N PULASKI RD,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,false,false,1723,17,39,16,08B,41.956007174,-87.72768356,2023
13143111,JG344099,2023-07-16 01:00:00.000000 UTC,041XX N ELSTON AVE,BATTERY,SIMPLE,APARTMENT,false,true,1723,17,39,16,08B,41.957108143,-87.724154713,2023
13067915,JG254434,2023-05-09 19:01:00.000000 UTC,046XX N LAWNDALE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1723,17,33,14,08B,41.965283468,-87.720605765,2023
13228674,JG445757,2023-09-30 23:00:00.000000 UTC,042XX N BERNARD ST,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,false,false,1723,17,33,16,04A,41.957952614,-87.71426775,2023
12997023,JG169725,2023-02-28 23:26:00.000000 UTC,044XX N PULASKI RD,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,SMALL RETAIL STORE,false,false,1723,17,35,14,04A,41.961342741,-87.727838934,2023
12990297,JG161422,2023-02-22 03:15:00.000000 UTC,034XX W CULLOM AVE,ASSAULT,SIMPLE,STREET,false,false,1723,17,35,16,08A,41.959309009,-87.713390612,2023
13021975,JG199539,2023-03-26 10:10:00.000000 UTC,037XX W MONTROSE AVE,ASSAULT,SIMPLE,CONVENIENCE STORE,false,false,1723,17,35,16,08A,41.961016635,-87.722227643,2023
13095483,JG287395,2023-06-04 06:30:00.000000 UTC,037XX W SUNNYSIDE AVE,ASSAULT,SIMPLE,APARTMENT,true,true,1723,17,33,14,08A,41.962849658,-87.721176934,2023
13229933,JG446240,2023-10-01 04:00:00.000000 UTC,037XX W WINDSOR AVE,THEFT,OVER $500,APARTMENT,false,true,1723,17,33,14,06,41.96375171,-87.722058108,2023
13119240,JG315214,2023-06-22 15:30:00.000000 UTC,046XX N MONTICELLO AVE,THEFT,OVER $500,STREET,false,false,1723,17,33,14,06,41.965208326,-87.719382052,2023
13195178,JG405402,2023-08-29 14:50:00.000000 UTC,037XX W SUNNYSIDE AVE,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,1723,17,33,14,06,41.962841876,-87.721776334,2023
12949457,JG112808,2023-01-11 06:00:00.000000 UTC,047XX N PULASKI RD,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1723,17,39,14,06,41.967935281,-87.728019199,2023
13046205,JG228319,2023-04-18 14:43:00.000000 UTC,044XX N KIMBALL AVE,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,1723,17,35,14,06,41.962106905,-87.71316862,2023
13077854,JG266380,2023-05-19 07:45:00.000000 UTC,036XX W WILSON AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1723,17,33,14,14,41.964703407,-87.718872126,2023
13174568,JG381190,2023-08-13 14:18:00.000000 UTC,043XX N SPAULDING AVE,ROBBERY,ARMED - HANDGUN,STREET,false,false,1724,17,33,16,03,41.96053196,-87.710676377,2023
13012411,JG187997,2023-03-16 15:31:00.000000 UTC,043XX N WHIPPLE ST,BATTERY,SIMPLE,STREET,false,false,1724,17,33,16,08B,41.960221407,-87.704550357,2023
13151121,JG353598,2023-07-24 07:20:00.000000 UTC,043XX N TROY ST,BATTERY,SIMPLE,STREET,false,false,1724,17,33,16,08B,41.960289652,-87.706994688,2023
13224087,JG440087,2023-09-26 15:05:00.000000 UTC,031XX W SUNNYSIDE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1724,17,33,14,08B,41.963027538,-87.706339132,2023
12965452,JG131815,2023-01-27 16:30:00.000000 UTC,040XX N KEDZIE AVE,ASSAULT,SIMPLE,SMALL RETAIL STORE,false,false,1724,17,33,16,08A,41.954614809,-87.708035521,2023
13264139,JG488708,2023-11-01 22:00:00.000000 UTC,042XX N FRANCISCO AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1724,17,33,16,06,41.958299173,-87.700819142,2023
12945319,JG107726,2023-01-07 12:00:00.000000 UTC,045XX N KEDZIE AVE,THEFT,$500 AND UNDER,APARTMENT,false,false,1724,17,33,14,06,41.963589941,-87.708322812,2023
13033185,JG212732,2023-04-06 03:30:00.000000 UTC,042XX N KEDZIE AVE,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,1724,17,33,16,14,41.958429921,-87.708156318,2023
13203769,JG415848,2023-09-08 00:00:00.000000 UTC,032XX N PULASKI RD,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,false,1731,17,30,16,04B,41.93932248,-87.727190905,2023
13075228,JG262805,2023-05-16 13:15:00.000000 UTC,036XX N MILWAUKEE AVE,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,false,false,1731,17,30,16,08B,41.946542477,-87.736084376,2023
13201513,JG413337,2023-09-06 10:10:00.000000 UTC,035XX N CICERO AVE,BATTERY,SIMPLE,ALLEY,false,false,1731,17,30,15,08B,41.945591853,-87.747047289,2023
13038777,JG219037,2023-04-10 20:30:00.000000 UTC,033XX N KEYSTONE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,1731,17,30,16,08B,41.94118985,-87.728478057,2023
13201177,JG412944,2023-09-05 23:30:00.000000 UTC,034XX N PULASKI RD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1731,17,30,16,08B,41.944386341,-87.727337759,2023
13071076,JG257485,2023-05-10 19:00:00.000000 UTC,041XX W MELROSE ST,THEFT,OVER $500,STREET,false,false,1731,17,30,16,06,41.93996002,-87.730485491,2023
13014294,JG190496,2023-03-18 17:45:00.000000 UTC,039XX N CICERO AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1731,17,45,15,06,41.952184675,-87.74728465,2023
13310250,JG544096,2023-12-17 04:40:00.000000 UTC,033XX N KEATING AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,1731,17,30,15,14,41.941614668,-87.745278993,2023
13055025,JG237931,2023-04-26 11:57:00.000000 UTC,038XX N CICERO AVE,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,1731,17,45,15,14,41.950974288,-87.747247947,2023
13284523,JG513039,2023-11-18 02:00:00.000000 UTC,047XX W ROSCOE ST,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,false,true,1731,17,30,15,14,41.942492987,-87.745848004,2023
13060046,JG244854,2023-05-02 06:45:00.000000 UTC,033XX N HAMLIN AVE,ROBBERY,STRONG ARM - NO WEAPON,TAXICAB,false,false,1732,17,30,21,03,41.941673414,-87.722368272,2023
13203157,JG415111,2023-09-07 14:40:00.000000 UTC,036XX W CORNELIA AVE,BATTERY,SIMPLE,RESIDENCE,false,false,1732,17,30,21,08B,41.944661492,-87.71921164,2023
13080322,JG269261,2023-05-21 15:13:00.000000 UTC,036XX W ADDISON ST,BATTERY,SIMPLE,CTA BUS,false,false,1732,17,30,16,08B,41.946488939,-87.718661096,2023
13190215,JG399895,2023-08-27 14:30:00.000000 UTC,036XX W ADDISON ST,BATTERY,SIMPLE,CTA TRAIN,false,false,1732,17,30,16,08B,41.946488939,-87.718661096,2023
12992959,JG164761,2023-02-24 21:20:00.000000 UTC,038XX N CENTRAL PARK AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1732,17,45,16,08B,41.951006447,-87.717735417,2023
12964557,JG130693,2023-01-26 14:50:00.000000 UTC,034XX W ADDISON ST,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,1732,17,35,21,04A,41.946562888,-87.713021546,2023
13221957,JG437758,2023-09-23 19:00:00.000000 UTC,038XX N HAMLIN AVE,ASSAULT,SIMPLE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,false,false,1732,17,30,16,08A,41.950555049,-87.722621669,2023
13244981,JG465614,2023-10-13 12:00:00.000000 UTC,037XX W CORNELIA AVE,THEFT,OVER $500,STREET,false,false,1732,17,30,21,06,41.944640221,-87.720880656,2023
12958545,JG123543,2023-01-20 14:00:00.000000 UTC,039XX N LAWNDALE AVE,THEFT,OVER $500,SCHOOL - PUBLIC GROUNDS,false,false,1732,17,45,16,06,41.952389116,-87.720221957,2023
13083945,JG273719,2023-05-23 21:00:00.000000 UTC,033XX N SPRINGFIELD AVE,THEFT,OVER $500,STREET,false,false,1732,17,30,21,06,41.941494269,-87.724806915,2023
13239971,JG459396,2023-10-11 11:30:00.000000 UTC,032XX N KIMBALL AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1732,17,35,21,06,41.939765481,-87.712517724,2023
13308007,JG540497,2023-12-14 06:14:00.000000 UTC,035XX N KIMBALL AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1732,17,35,21,06,41.945238279,-87.712670479,2023
13005402,JG179606,2023-03-09 14:30:00.000000 UTC,035XX N KIMBALL AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,1732,17,35,21,06,41.945238279,-87.712670479,2023
13180954,JG388771,2023-08-19 08:37:00.000000 UTC,032XX N MILWAUKEE AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1732,17,30,21,06,41.939566852,-87.724623088,2023
13088853,JG279234,2023-05-29 03:56:00.000000 UTC,028XX W BYRON ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1733,17,33,16,08B,41.952144562,-87.699942558,2023
13300003,JG530954,2023-12-06 13:00:00.000000 UTC,038XX N CALIFORNIA AVE,ASSAULT,SIMPLE,NURSING / RETIREMENT HOME,false,false,1733,17,35,16,08A,41.950781768,-87.698151062,2023
13042915,JG224230,2023-04-14 23:00:00.000000 UTC,039XX N MOZART ST,THEFT,OVER $500,STREET,false,false,1733,17,33,16,06,41.952863471,-87.699431792,2023
13148586,JG349781,2023-07-18 11:22:00.000000 UTC,032XX N ELSTON AVE,THEFT,OVER $500,STREET,false,false,1733,17,33,21,06,41.939897744,-87.699060353,2023
13294033,JG524253,2023-11-29 18:59:00.000000 UTC,033XX N TROY ST,THEFT,$500 AND UNDER,STREET,false,false,1733,17,33,21,06,41.941659111,-87.706478684,2023
13264117,JG488597,2023-11-02 13:50:00.000000 UTC,029XX W ADDISON ST,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1733,17,33,21,06,41.946653043,-87.700875462,2023
